Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Sexo (Código),Sexo,Idade (Código),Idade,Forma de declaração da idade (Código),Forma de declaração da idade
3,Unidade da Federação,45,Pessoas,23738,11,Rondônia,2022,2022,93,População residente,6794,Total,6570,13 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23587,11,Rondônia,2022,2022,93,População residente,6794,Total,6571,14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,122058,11,Rondônia,2022,2022,93,População residente,6794,Total,93086,15 a 19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24426,11,Rondônia,2022,2022,93,População residente,6794,Total,6572,15 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24659,11,Rondônia,2022,2022,93,População residente,6794,Total,6573,16 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24952,11,Rondônia,2022,2022,93,População residente,6794,Total,6574,17 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24571,11,Rondônia,2022,2022,93,População residente,6794,Total,6575,18 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23450,11,Rondônia,2022,2022,93,População residente,6794,Total,6576,19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,124515,11,Rondônia,2022,2022,93,População residente,6794,Total,93087,20 a 24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24591,11,Rondônia,2022,2022,93,População residente,6794,Total,6577,20 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24637,11,Rondônia,2022,2022,93,População residente,6794,Total,6578,21 anos,113635,Total
3,Unidade da Federação,45,Pessoas,26270,11,Rondônia,2022,2022,93,População residente,6794,Total,6579,22 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24718,11,Rondônia,2022,2022,93,População residente,6794,Total,6580,23 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24299,11,Rondônia,2022,2022,93,População residente,6794,Total,6581,24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,126056,11,Rondônia,2022,2022,93,População residente,6794,Total,93088,25 a 29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25442,11,Rondônia,2022,2022,93,População residente,6794,Total,6582,25 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25398,11,Rondônia,2022,2022,93,População residente,6794,Total,6656,26 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25584,11,Rondônia,2022,2022,93,População residente,6794,Total,6657,27 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25580,11,Rondônia,2022,2022,93,População residente,6794,Total,6658,28 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24052,11,Rondônia,2022,2022,93,População residente,6794,Total,6659,29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,125234,11,Rondônia,2022,2022,93,População residente,6794,Total,93089,30 a 34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,26297,11,Rondônia,2022,2022,93,População residente,6794,Total,6583,30 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23238,11,Rondônia,2022,2022,93,População residente,6794,Total,6584,31 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25470,11,Rondônia,2022,2022,93,População residente,6794,Total,6585,32 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25297,11,Rondônia,2022,2022,93,População residente,6794,Total,6586,33 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24932,11,Rondônia,2022,2022,93,População residente,6794,Total,6587,34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,127989,11,Rondônia,2022,2022,93,População residente,6794,Total,93090,35 a 39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,26401,11,Rondônia,2022,2022,93,População residente,6794,Total,6588,35 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25846,11,Rondônia,2022,2022,93,População residente,6794,Total,6589,36 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24981,11,Rondônia,2022,2022,93,População residente,6794,Total,6590,37 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25337,11,Rondônia,2022,2022,93,População residente,6794,Total,6591,38 anos,113635,Total
3,Unidade da Federação,45,Pessoas,25424,11,Rondônia,2022,2022,93,População residente,6794,Total,6592,39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,123968,11,Rondônia,2022,2022,93,População residente,6794,Total,93091,40 a 44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,28169,11,Rondônia,2022,2022,93,População residente,6794,Total,6593,40 anos,113635,Total
3,Unidade da Federação,45,Pessoas,24129,11,Rondônia,2022,2022,93,População residente,6794,Total,6594,41 anos,113635,Total
3,Unidade da Federação,45,Pessoas,26448,11,Rondônia,2022,2022,93,População residente,6794,Total,6595,42 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23410,11,Rondônia,2022,2022,93,População residente,6794,Total,6596,43 anos,113635,Total
3,Unidade da Federação,45,Pessoas,21812,11,Rondônia,2022,2022,93,População residente,6794,Total,6597,44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,106731,11,Rondônia,2022,2022,93,População residente,6794,Total,93092,45 a 49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,23270,11,Rondônia,2022,2022,93,População residente,6794,Total,6598,45 anos,113635,Total
3,Unidade da Federação,45,Pessoas,21864,11,Rondônia,2022,2022,93,População residente,6794,Total,6599,46 anos,113635,Total
3,Unidade da Federação,45,Pessoas,20934,11,Rondônia,2022,2022,93,População residente,6794,Total,6600,47 anos,113635,Total
3,Unidade da Federação,45,Pessoas,20557,11,Rondônia,2022,2022,93,População residente,6794,Total,6601,48 anos,113635,Total
3,Unidade da Federação,45,Pessoas,20106,11,Rondônia,2022,2022,93,População residente,6794,Total,6602,49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,95902,11,Rondônia,2022,2022,93,População residente,6794,Total,93093,50 a 54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,21429,11,Rondônia,2022,2022,93,População residente,6794,Total,6603,50 anos,113635,Total
3,Unidade da Federação,45,Pessoas,18575,11,Rondônia,2022,2022,93,População residente,6794,Total,6604,51 anos,113635,Total
3,Unidade da Federação,45,Pessoas,19637,11,Rondônia,2022,2022,93,População residente,6794,Total,6605,52 anos,113635,Total
3,Unidade da Federação,45,Pessoas,18695,11,Rondônia,2022,2022,93,População residente,6794,Total,6606,53 anos,113635,Total
3,Unidade da Federação,45,Pessoas,17566,11,Rondônia,2022,2022,93,População residente,6794,Total,6607,54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,84545,11,Rondônia,2022,2022,93,População residente,6794,Total,93094,55 a 59 anos,113635,Total
3,Unidade da Federação,45,Pessoas,17914,11,Rondônia,2022,2022,93,População residente,6794,Total,6608,55 anos,113635,Total
3,Unidade da Federação,45,Pessoas,17527,11,Rondônia,2022,2022,93,População residente,6794,Total,6609,56 anos,113635,Total
3,Unidade da Federação,45,Pessoas,16926,11,Rondônia,2022,2022,93,População residente,6794,Total,6610,57 anos,113635,Total
3,Unidade da Federação,45,Pessoas,16605,11,Rondônia,2022,2022,93,População residente,6794,Total,6611,58 anos,113635,Total
3,Unidade da Federação,45,Pessoas,15573,11,Rondônia,2022,2022,93,População residente,6794,Total,6612,59 anos,113635,Total
3,Unidade da Federação,45,Pessoas,67775,11,Rondônia,2022,2022,93,População residente,6794,Total,93095,60 a 64 anos,113635,Total
3,Unidade da Federação,45,Pessoas,15671,11,Rondônia,2022,2022,93,População residente,6794,Total,6613,60 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13261,11,Rondônia,2022,2022,93,População residente,6794,Total,6614,61 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13989,11,Rondônia,2022,2022,93,População residente,6794,Total,6615,62 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12838,11,Rondônia,2022,2022,93,População residente,6794,Total,6616,63 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12016,11,Rondônia,2022,2022,93,População residente,6794,Total,6617,64 anos,113635,Total
3,Unidade da Federação,45,Pessoas,50232,11,Rondônia,2022,2022,93,População residente,6794,Total,93096,65 a 69 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11830,11,Rondônia,2022,2022,93,População residente,6794,Total,6618,65 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10723,11,Rondônia,2022,2022,93,População residente,6794,Total,6619,66 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10063,11,Rondônia,2022,2022,93,População residente,6794,Total,6620,67 anos,113635,Total
3,Unidade da Federação,45,Pessoas,9432,11,Rondônia,2022,2022,93,População residente,6794,Total,6621,68 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8184,11,Rondônia,2022,2022,93,População residente,6794,Total,6622,69 anos,113635,Total
3,Unidade da Federação,45,Pessoas,34028,11,Rondônia,2022,2022,93,População residente,6794,Total,93097,70 a 74 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8395,11,Rondônia,2022,2022,93,População residente,6794,Total,6623,70 anos,113635,Total
3,Unidade da Federação,45,Pessoas,6927,11,Rondônia,2022,2022,93,População residente,6794,Total,6624,71 anos,113635,Total
3,Unidade da Federação,45,Pessoas,6972,11,Rondônia,2022,2022,93,População residente,6794,Total,6625,72 anos,113635,Total
3,Unidade da Federação,45,Pessoas,6046,11,Rondônia,2022,2022,93,População residente,6794,Total,6626,73 anos,113635,Total
3,Unidade da Federação,45,Pessoas,5688,11,Rondônia,2022,2022,93,População residente,6794,Total,6627,74 anos,113635,Total
3,Unidade da Federação,45,Pessoas,21246,11,Rondônia,2022,2022,93,População residente,6794,Total,93098,75 a 79 anos,113635,Total
3,Unidade da Federação,45,Pessoas,5058,11,Rondônia,2022,2022,93,População residente,6794,Total,6628,75 anos,113635,Total
3,Unidade da Federação,45,Pessoas,4705,11,Rondônia,2022,2022,93,População residente,6794,Total,6629,76 anos,113635,Total
3,Unidade da Federação,45,Pessoas,4164,11,Rondônia,2022,2022,93,População residente,6794,Total,6630,77 anos,113635,Total
3,Unidade da Federação,45,Pessoas,3951,11,Rondônia,2022,2022,93,População residente,6794,Total,6631,78 anos,113635,Total
3,Unidade da Federação,45,Pessoas,3368,11,Rondônia,2022,2022,93,População residente,6794,Total,6632,79 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13194,11,Rondônia,2022,2022,93,População residente,6794,Total,49108,80 a 84 anos,113635,Total
3,Unidade da Federação,45,Pessoas,3402,11,Rondônia,2022,2022,93,População residente,6794,Total,6633,80 anos,113635,Total
3,Unidade da Federação,45,Pessoas,2544,11,Rondônia,2022,2022,93,População residente,6794,Total,6634,81 anos,113635,Total
3,Unidade da Federação,45,Pessoas,2860,11,Rondônia,2022,2022,93,População residente,6794,Total,6635,82 anos,113635,Total
3,Unidade da Federação,45,Pessoas,2392,11,Rondônia,2022,2022,93,População residente,6794,Total,6636,83 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1996,11,Rondônia,2022,2022,93,População residente,6794,Total,6637,84 anos,113635,Total
3,Unidade da Federação,45,Pessoas,6353,11,Rondônia,2022,2022,93,População residente,6794,Total,49109,85 a 89 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1679,11,Rondônia,2022,2022,93,População residente,6794,Total,6638,85 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1554,11,Rondônia,2022,2022,93,População residente,6794,Total,6639,86 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1302,11,Rondônia,2022,2022,93,População residente,6794,Total,6640,87 anos,113635,Total
3,Unidade da Federação,45,Pessoas,1011,11,Rondônia,2022,2022,93,População residente,6794,Total,6641,88 anos,113635,Total
3,Unidade da Federação,45,Pessoas,807,11,Rondônia,2022,2022,93,População residente,6794,Total,6642,89 anos,113635,Total
3,Unidade da Federação,45,Pessoas,2451,11,Rondônia,2022,2022,93,População residente,6794,Total,60040,90 a 94 anos,113635,Total
3,Unidade da Federação,45,Pessoas,722,11,Rondônia,2022,2022,93,População residente,6794,Total,6643,90 anos,113635,Total
3,Unidade da Federação,45,Pessoas,545,11,Rondônia,2022,2022,93,População residente,6794,Total,6644,91 anos,113635,Total
3,Unidade da Federação,45,Pessoas,554,11,Rondônia,2022,2022,93,População residente,6794,Total,6645,92 anos,113635,Total
3,Unidade da Federação,45,Pessoas,359,11,Rondônia,2022,2022,93,População residente,6794,Total,6646,93 anos,113635,Total
3,Unidade da Federação,45,Pessoas,271,11,Rondônia,2022,2022,93,População residente,6794,Total,6647,94 anos,113635,Total
3,Unidade da Federação,45,Pessoas,620,11,Rondônia,2022,2022,93,População residente,6794,Total,60041,95 a 99 anos,113635,Total
3,Unidade da Federação,45,Pessoas,196,11,Rondônia,2022,2022,93,População residente,6794,Total,6648,95 anos,113635,Total
3,Unidade da Federação,45,Pessoas,143,11,Rondônia,2022,2022,93,População residente,6794,Total,6649,96 anos,113635,Total
3,Unidade da Federação,45,Pessoas,120,11,Rondônia,2022,2022,93,População residente,6794,Total,6650,97 anos,113635,Total
3,Unidade da Federação,45,Pessoas,103,11,Rondônia,2022,2022,93,População residente,6794,Total,6651,98 anos,113635,Total
3,Unidade da Federação,45,Pessoas,58,11,Rondônia,2022,2022,93,População residente,6794,Total,6652,99 anos,113635,Total
3,Unidade da Federação,45,Pessoas,147,11,Rondônia,2022,2022,93,População residente,6794,Total,6653,100 anos ou mais,113635,Total
3,Unidade da Federação,45,Pessoas,787987,11,Rondônia,2022,2022,93,População residente,4,Homens,100362,Total,113635,Total
3,Unidade da Federação,45,Pessoas,57661,11,Rondônia,2022,2022,93,População residente,4,Homens,93070,0 a 4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10974,11,Rondônia,2022,2022,93,População residente,4,Homens,6557,Menos de 1 ano,113635,Total
3,Unidade da Federação,45,Pessoas,852,11,Rondônia,2022,2022,93,População residente,4,Homens,93071,Menos de 1 mês,113635,Total
3,Unidade da Federação,45,Pessoas,903,11,Rondônia,2022,2022,93,População residente,4,Homens,93072,1 mês,113635,Total
3,Unidade da Federação,45,Pessoas,947,11,Rondônia,2022,2022,93,População residente,4,Homens,93073,2 meses,113635,Total
3,Unidade da Federação,45,Pessoas,901,11,Rondônia,2022,2022,93,População residente,4,Homens,93074,3 meses,113635,Total
3,Unidade da Federação,45,Pessoas,981,11,Rondônia,2022,2022,93,População residente,4,Homens,93075,4 meses,113635,Total
3,Unidade da Federação,45,Pessoas,758,11,Rondônia,2022,2022,93,População residente,4,Homens,93076,5 meses,113635,Total
3,Unidade da Federação,45,Pessoas,880,11,Rondônia,2022,2022,93,População residente,4,Homens,93077,6 meses,113635,Total
3,Unidade da Federação,45,Pessoas,934,11,Rondônia,2022,2022,93,População residente,4,Homens,93078,7 meses,113635,Total
3,Unidade da Federação,45,Pessoas,1018,11,Rondônia,2022,2022,93,População residente,4,Homens,93079,8 meses,113635,Total
3,Unidade da Federação,45,Pessoas,976,11,Rondônia,2022,2022,93,População residente,4,Homens,93080,9 meses,113635,Total
3,Unidade da Federação,45,Pessoas,950,11,Rondônia,2022,2022,93,População residente,4,Homens,93081,10 meses,113635,Total
3,Unidade da Federação,45,Pessoas,874,11,Rondônia,2022,2022,93,População residente,4,Homens,93082,11 meses,113635,Total
3,Unidade da Federação,45,Pessoas,10800,11,Rondônia,2022,2022,93,População residente,4,Homens,6558,1 ano,113635,Total
3,Unidade da Federação,45,Pessoas,11536,11,Rondônia,2022,2022,93,População residente,4,Homens,6559,2 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12272,11,Rondônia,2022,2022,93,População residente,4,Homens,6560,3 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12079,11,Rondônia,2022,2022,93,População residente,4,Homens,6561,4 anos,113635,Total
3,Unidade da Federação,45,Pessoas,59904,11,Rondônia,2022,2022,93,População residente,4,Homens,93084,5 a 9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11686,11,Rondônia,2022,2022,93,População residente,4,Homens,6562,5 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12104,11,Rondônia,2022,2022,93,População residente,4,Homens,6563,6 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12117,11,Rondônia,2022,2022,93,População residente,4,Homens,6564,7 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12051,11,Rondônia,2022,2022,93,População residente,4,Homens,6565,8 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11946,11,Rondônia,2022,2022,93,População residente,4,Homens,6566,9 anos,113635,Total
3,Unidade da Federação,45,Pessoas,59741,11,Rondônia,2022,2022,93,População residente,4,Homens,93085,10 a 14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11906,11,Rondônia,2022,2022,93,População residente,4,Homens,6567,10 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11757,11,Rondônia,2022,2022,93,População residente,4,Homens,6568,11 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11970,11,Rondônia,2022,2022,93,População residente,4,Homens,6569,12 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12027,11,Rondônia,2022,2022,93,População residente,4,Homens,6570,13 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12081,11,Rondônia,2022,2022,93,População residente,4,Homens,6571,14 anos,113635,Total
3,Unidade da Federação,45,Pessoas,61942,11,Rondônia,2022,2022,93,População residente,4,Homens,93086,15 a 19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12357,11,Rondônia,2022,2022,93,População residente,4,Homens,6572,15 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12513,11,Rondônia,2022,2022,93,População residente,4,Homens,6573,16 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12630,11,Rondônia,2022,2022,93,População residente,4,Homens,6574,17 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12566,11,Rondônia,2022,2022,93,População residente,4,Homens,6575,18 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11876,11,Rondônia,2022,2022,93,População residente,4,Homens,6576,19 anos,113635,Total
3,Unidade da Federação,45,Pessoas,62155,11,Rondônia,2022,2022,93,População residente,4,Homens,93087,20 a 24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12238,11,Rondônia,2022,2022,93,População residente,4,Homens,6577,20 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12398,11,Rondônia,2022,2022,93,População residente,4,Homens,6578,21 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13135,11,Rondônia,2022,2022,93,População residente,4,Homens,6579,22 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12312,11,Rondônia,2022,2022,93,População residente,4,Homens,6580,23 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12072,11,Rondônia,2022,2022,93,População residente,4,Homens,6581,24 anos,113635,Total
3,Unidade da Federação,45,Pessoas,62121,11,Rondônia,2022,2022,93,População residente,4,Homens,93088,25 a 29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12657,11,Rondônia,2022,2022,93,População residente,4,Homens,6582,25 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12597,11,Rondônia,2022,2022,93,População residente,4,Homens,6656,26 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12572,11,Rondônia,2022,2022,93,População residente,4,Homens,6657,27 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12527,11,Rondônia,2022,2022,93,População residente,4,Homens,6658,28 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11768,11,Rondônia,2022,2022,93,População residente,4,Homens,6659,29 anos,113635,Total
3,Unidade da Federação,45,Pessoas,61525,11,Rondônia,2022,2022,93,População residente,4,Homens,93089,30 a 34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13075,11,Rondônia,2022,2022,93,População residente,4,Homens,6583,30 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11418,11,Rondônia,2022,2022,93,População residente,4,Homens,6584,31 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12503,11,Rondônia,2022,2022,93,População residente,4,Homens,6585,32 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12610,11,Rondônia,2022,2022,93,População residente,4,Homens,6586,33 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11919,11,Rondônia,2022,2022,93,População residente,4,Homens,6587,34 anos,113635,Total
3,Unidade da Federação,45,Pessoas,62298,11,Rondônia,2022,2022,93,População residente,4,Homens,93090,35 a 39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12803,11,Rondônia,2022,2022,93,População residente,4,Homens,6588,35 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12535,11,Rondônia,2022,2022,93,População residente,4,Homens,6589,36 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12241,11,Rondônia,2022,2022,93,População residente,4,Homens,6590,37 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12310,11,Rondônia,2022,2022,93,População residente,4,Homens,6591,38 anos,113635,Total
3,Unidade da Federação,45,Pessoas,12409,11,Rondônia,2022,2022,93,População residente,4,Homens,6592,39 anos,113635,Total
3,Unidade da Federação,45,Pessoas,60618,11,Rondônia,2022,2022,93,População residente,4,Homens,93091,40 a 44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13790,11,Rondônia,2022,2022,93,População residente,4,Homens,6593,40 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11792,11,Rondônia,2022,2022,93,População residente,4,Homens,6594,41 anos,113635,Total
3,Unidade da Federação,45,Pessoas,13012,11,Rondônia,2022,2022,93,População residente,4,Homens,6595,42 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11419,11,Rondônia,2022,2022,93,População residente,4,Homens,6596,43 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10605,11,Rondônia,2022,2022,93,População residente,4,Homens,6597,44 anos,113635,Total
3,Unidade da Federação,45,Pessoas,52217,11,Rondônia,2022,2022,93,População residente,4,Homens,93092,45 a 49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,11568,11,Rondônia,2022,2022,93,População residente,4,Homens,6598,45 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10632,11,Rondônia,2022,2022,93,População residente,4,Homens,6599,46 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10217,11,Rondônia,2022,2022,93,População residente,4,Homens,6600,47 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10048,11,Rondônia,2022,2022,93,População residente,4,Homens,6601,48 anos,113635,Total
3,Unidade da Federação,45,Pessoas,9752,11,Rondônia,2022,2022,93,População residente,4,Homens,6602,49 anos,113635,Total
3,Unidade da Federação,45,Pessoas,47558,11,Rondônia,2022,2022,93,População residente,4,Homens,93093,50 a 54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,10452,11,Rondônia,2022,2022,93,População residente,4,Homens,6603,50 anos,113635,Total
3,Unidade da Federação,45,Pessoas,9097,11,Rondônia,2022,2022,93,População residente,4,Homens,6604,51 anos,113635,Total
3,Unidade da Federação,45,Pessoas,9825,11,Rondônia,2022,2022,93,População residente,4,Homens,6605,52 anos,113635,Total
3,Unidade da Federação,45,Pessoas,9391,11,Rondônia,2022,2022,93,População residente,4,Homens,6606,53 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8793,11,Rondônia,2022,2022,93,População residente,4,Homens,6607,54 anos,113635,Total
3,Unidade da Federação,45,Pessoas,42507,11,Rondônia,2022,2022,93,População residente,4,Homens,93094,55 a 59 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8856,11,Rondônia,2022,2022,93,População residente,4,Homens,6608,55 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8805,11,Rondônia,2022,2022,93,População residente,4,Homens,6609,56 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8439,11,Rondônia,2022,2022,93,População residente,4,Homens,6610,57 anos,113635,Total
3,Unidade da Federação,45,Pessoas,8463,11,Rondônia,2022,2022,93,População residente,4,Homens,6611,58 anos,113635,Total
3,Unidade da Federação,45,Pessoas,7944,11,Rondônia,2022,2022,93,População residente,4,Homens,6612,59 anos,113635,Total
